sku,nom,marque,prix,note,lien,image,category
4e55f1f8-37a3-4ca8-80ac-471e1598804d,CHAUSSURE COURSE A PIED HOMME RUN ONE BLEU,DECATHLON,"149,00 MAD",10101.0,https://www.decathlon.ma/p/9713-72454-chaussure-course-a-pied-homme-run-one-bleu.html,https://contents.mediadecathlon.com/p1985520/1cr1/k$eb8ed3a45ad9172f8ddc862ea1c5fa48/prod.jpg?format=auto&f=1024x0,chaussures_hommes
6ca4f924-20ab-4cec-9173-7af2f77c9443,Chaussures de running homme jogflow 100.1 gris orange,KALENJI,"199,00 MAD",14125.0,https://www.decathlon.ma/p/337693-100512-chaussures-de-running-homme-jogflow-1001-gris-orange.html,https://contents.mediadecathlon.com/p2819134/1cr1/k$352a339eb3fd9823ba0a6e6dffb7c505/prod.jpg?format=auto&f=1024x0,chaussures_hommes
657a5d31-a224-4842-bcf4-085144f25005,JOGFLOW 190.1 Run Homme Noir Gris,KIPRUN,"299,00 MAD",6743.0,https://www.decathlon.ma/p/339940-113105-jogflow-1901-run-homme-noir-gris.html,https://contents.mediadecathlon.com/p3064111/1cr1/k$d9be965d40017be5509e327b0ecff4ed/prod.jpg?format=auto&f=1024x0,chaussures_hommes
961b9280-f803-4743-892a-8431483de565,JOGFLOW 190.1 Run Homme Noir,KIPRUN,"299,00 MAD",6743.0,https://www.decathlon.ma/p/339940-113114-jogflow-1901-run-homme-noir.html,https://contents.mediadecathlon.com/p3064095/1cr1/k$61738abb5f95303f3aad12cb640924d1/prod.jpg?format=auto&f=1024x0,chaussures_hommes
aee6c45f-02e9-4d36-afff-d9ad39e362d7,"Chaussures de randonnée homme, NH50 noir",QUECHUA,"199,00 MAD",5751.0,https://www.decathlon.ma/p/350783-125344-chaussures-de-randonnee-homme-nh50-noir.html,https://contents.mediadecathlon.com/p2617676/1cr1/k$f722635e10650439038d45f4aab7883d/prod.jpg?format=auto&f=1024x0,chaussures_hommes
06ef35ee-5668-415a-85e4-fdc523b19311,Chaussettes de sport hautes rs 100 blanc lot de 3,ARTENGO,"49,00 MAD",5089.0,https://www.decathlon.ma/p/300219-114925-chaussettes-de-sport-hautes-rs-100-blanc-lot-de-3.html,https://contents.mediadecathlon.com/p2204947/1cr1/k$ab29598d48ee60733e360fa1b3468413/prod.jpg?format=auto&f=1024x0,chaussures_hommes
5fdf3a27-09c5-46c5-92ee-bf25a50af6d8,"Chaussures de randonnée homme, NH50 vert",QUECHUA,"199,00 MAD",5751.0,https://www.decathlon.ma/p/350783-125335-chaussures-de-randonnee-homme-nh50-vert.html,https://contents.mediadecathlon.com/p2617670/1cr1/k$9920a2027435166f5261dc522c1ea182/prod.jpg?format=auto&f=1024x0,chaussures_hommes
6860cf4e-79a6-432b-8ce5-cf4cd3060c49,Chaussettes de running run100 noire x3.,KIPRUN,"49,00 MAD",23908.0,https://www.decathlon.ma/p/11690-40423-chaussettes-de-running-run100-noire-x3.html,https://contents.mediadecathlon.com/p2707878/1cr1/k$62f6a58896f77a80b8a697a675a06967/prod.jpg?format=auto&f=1024x0,chaussures_hommes
524bf9a1-0374-44a3-a952-c03572a3dbf2,CHAUSSETTES DE SPORT HAUTES  RS 160 NOIR LOT DE 3,DECATHLON,"69,00 MAD",16669.0,https://www.decathlon.ma/p/300234-24008-chaussettes-de-sport-hautes-rs-160-noir-lot-de-3.html,https://contents.mediadecathlon.com/p2945958/1cr1/k$b42c86f24648589869ac659affc3e5c0/prod.jpg?format=auto&f=1024x0,chaussures_hommes
fce959ea-d155-4a28-82fb-35a02abda038,CHAUSSETTES DE RUNNING RUN100 BLANCHE x3,KIPRUN,"49,00 MAD",23908.0,https://www.decathlon.ma/p/11690-40427-chaussettes-de-running-run100-blanche-x3.html,https://contents.mediadecathlon.com/p2707879/1cr1/k$85497a929ec16f29c48b093e4d5c3ad9/prod.jpg?format=auto&f=1024x0,chaussures_hommes
2509e0f7-79da-44d2-8d26-8db8440e91f2,CHAUSSETTES DE SPORT BASSES RS 160 BLANC LOT DE 3.,DECATHLON,"69,00 MAD",21539.0,https://www.decathlon.ma/p/304714-27236-chaussettes-de-sport-basses-rs-160-blanc-lot-de-3.html,https://contents.mediadecathlon.com/p2945910/1cr1/k$b2da3ac00a2ee4112ad6f330d5fea256/prod.jpg?format=auto&f=1024x0,chaussures_hommes
fd806068-a6b2-4c20-add8-013e793c4122,CHAUSSETTES DE SPORT BASSES RS 160 NOIR LOT DE 3.,DECATHLON,"69,00 MAD",21539.0,https://www.decathlon.ma/p/304714-44577-chaussettes-de-sport-basses-rs-160-noir-lot-de-3.html,https://contents.mediadecathlon.com/p2945928/1cr1/k$04b315cfea758bedf2ec0e0b2b4e28c2/prod.jpg?format=auto&f=1024x0,chaussures_hommes
36a33ed0-56c1-4b3a-8178-a3297aa3aa75,CHAUSSETTES DE TENNIS HAUTES RS 500 NOIR LOT DE 3,DECATHLON,"99,00 MAD",16136.0,https://www.decathlon.ma/p/2451-108895-chaussettes-de-tennis-hautes-rs-500-noir-lot-de-3.html,https://contents.mediadecathlon.com/p2804825/1cr1/k$46fecb51ed560df869feb41d988d33dd/prod.jpg?format=auto&f=1024x0,chaussures_hommes
bde403ad-1601-4d66-9088-dfa567c3bcd1,CASQUETTE  ARTENGO TC 500 NOIR T58,KUIKMA,"99,00 MAD",3027.0,https://www.decathlon.ma/p/302625-27719-casquette-artengo-tc-500-noir-t58.html,https://contents.mediadecathlon.com/p2797328/1cr1/k$df1bd9a8b83c195d462b21fa76b66a3e/prod.jpg?format=auto&f=1024x0,accessoires-hommes
f770ef29-0f1d-4da6-91d3-dd98ca4014e6,Serviette de bain microfibre vert sapin taille XL 110 x 175 cm,DECATHLON,"149,00 MAD",11430.0,https://www.decathlon.ma/p/158653-43679-serviette-de-bain-microfibre-vert-sapin-taille-xl-110-x-175-cm.html,https://contents.mediadecathlon.com/p2865368/1cr1/k$e8a2e139c02f68adc4723e072bdc5ab8/prod.jpg?format=auto&f=1024x0,accessoires-hommes
39d4db56-29bf-4d34-b3db-ebcdd3e84deb,Hijab multisports femme - kiprun noir,KIPRUN,"99,00 MAD",102.0,https://www.decathlon.ma/p/313269-72138-hijab-multisports-femme-kiprun-noir.html,https://contents.mediadecathlon.com/p2399675/1cr1/k$1ba62ad38df17897c5a5be8c546e281c/prod.jpg?format=auto&f=1024x0,accessoires-hommes
18852607-83ef-46d3-81b7-42bb62a466bd,Ceinture de golf tressée élastique & extensible - sable,INESIS,"79,00 MAD",4720.0,https://www.decathlon.ma/p/338174-57161-ceinture-de-golf-tressee-elastique-extensible-sable.html,https://contents.mediadecathlon.com/p2236396/1cr1/k$7cf375921654e5191699501d18f09676/prod.jpg?format=auto&f=1024x0,accessoires-hommes
7c7adc17-163e-49a4-b6ca-d71a33160d2a,Serviette de plage 145 x 85 cm - bleu foncé,DECATHLON,"119,00 MAD",872.0,https://www.decathlon.ma/p/151911-24860-serviette-de-plage-145-x-85-cm-bleu-fonce.html,https://contents.mediadecathlon.com/p1288575/1cr1/k$ceeae98efaa63c1303d1dcbec9483fee/prod.jpg?format=auto&f=1024x0,accessoires-hommes
